ref_accel_x (m/s^2),ref_accel_y (m/s^2),ref_accel_z (m/s^2)
0.000000000000000000e+00,1.570795877223442587e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570795922180588233e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570795962642019096e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570795999057306765e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796031831065732e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796061327448933e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796087874193553e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796111766263950e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796133269127242e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796152621704292e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796170039023614e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796185714610745e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796199822639509e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796212519865159e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796223947368416e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796234232121067e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796243488398452e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796251819048207e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796259316633008e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796266064459481e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796272137503242e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796277603242431e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796282522407767e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796286949656699e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796290934180781e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796294520252325e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796297747716628e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796300652434543e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796303266680819e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796305619502316e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796307737041750e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796309642827392e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796311358034145e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796312901720547e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796314291038028e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796315541423890e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796316666771318e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796317679583982e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796318591115032e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796319411493303e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796320149833464e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796320814339675e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796321412395568e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796321950645568e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796322435070568e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796322871053198e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796323263437674e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796323616583355e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796323934414837e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796324220462932e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796324477906087e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796324709605295e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796324918134236e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796325105810499e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796325274719006e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796325426736945e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796325563552634e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796325686686992e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796325797508067e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796325897246860e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796325987011645e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326067800102e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326140509735e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326205948492e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326264843439e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326317848782e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326365553677e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326408487866e-03,-9.794841972265039942e+00
