ref_mag_x (uT),ref_mag_y (uT),ref_mag_z (uT)
1.2348644893302385e-16,-1.7696327198756276,9.752664230399649
0.004573466038562105,-1.7696325461629059,9.752661635267222
0.009146947854179686,-1.7696314484397428,9.752654039112981
0.013720397535585445,-1.7696289179633575,9.752641609031139
0.018293831230023542,-1.7696245138241258,9.752624489733956
0.022867243970436216,-1.7696177612033355,9.752602837095852
0.02744063089660251,-1.769608320957152,9.752576762511799
0.03201398725168084,-1.7695958878668347,9.752546366202617
0.036587287152951356,-1.7695800889063058,9.752511770844862
0.04116052604072239,-1.7695606867170726,9.752473054463211
0.045733699444099794,-1.7695374439531917,9.752430295081895
0.050306802985062404,-1.7695101232822688,9.752383570716017
0.054879811041003916,-1.7694785213202235,9.752332948511736
0.059452719279243796,-1.7694425025146268,9.752278473158785
0.06402552355497337,-1.7694018295805083,9.752220222653962
0.06859821957188314,-1.7693564348258382,9.752158219398593
0.0731707606788066,-1.769306114961541,9.75209253102879
0.07774314267230285,-1.7692508023351152,9.752023180021016
0.08231536143274018,-1.7691903953920933,9.75195019996828
0.0868874129421122,-1.7691247586807033,9.751873635561614
0.09145927174701898,-1.7690538585376343,9.75179349857472
0.09603093390577203,-1.7689775595483952,9.751709833712924
0.10060237402420472,-1.768895828087503,9.751622652843333
0.10517356679632565,-1.7688085966420501,9.751531978997543
0.10974450823589116,-1.768715797679637,9.751437834728195
0.11431519422072288,-1.768617431508253,9.751340220273732
0.11888559967561992,-1.7685133628464125,9.751239181042308
0.12345572043435932,-1.768403625950449,9.751134706142084
0.12802550992222508,-1.7682881873572427,9.751026808366277
0.13259498563077593,-1.7681669456711395,9.750915520743447
0.13716412212908638,-1.7680399352467049,9.75080083316261
0.14173289427642366,-1.7679070887265478,9.750682768949082
0.14630129793693444,-1.7677684404554939,9.750561317372908
0.1508693293874699,-1.7676238891529477,9.750436512144262
0.15543694193981816,-1.7674734693036058,9.750308344109916
0.16000415285897435,-1.7673171813385373,9.750176812917742
0.16457091579600108,-1.7671549580575077,9.750041942853104
0.1691372267572448,-1.7669867999831672,9.749903734409537
0.17370308175014812,-1.7668127076562328,9.749762188040174
0.17826845550369877,-1.766632681690854,9.74961730511342
0.18283334415754238,-1.7664466887552404,9.749469097210625
0.18739770118186416,-1.7662547295693527,9.749317566776872
0.1919615438777629,-1.766056804678317,9.749162713343857
0.19652484699934192,-1.7658529147727655,9.74900453845981
0.2010876068583821,-1.7656429926882895,9.74884306479875
0.20564977667159176,-1.765427107033625,9.748678272877738
0.21021137374713347,-1.7652052584146856,9.748510162186205
0.21477235188478608,-1.7649773798692725,9.748338757707545
0.21933272825986824,-1.7647435059383503,9.748164047815155
0.22389245654613746,-1.764503603603754,9.747986046540952
0.22845155391663674,-1.7642577074365178,9.747804742212125
0.23300997389795414,-1.7640058183579224,9.747620137885603
0.23756771255319453,-1.7637479371512195,9.747432234252956
0.24212476628824164,-1.7634839968195826,9.747241054115332
0.24668110958114658,-1.7632140660577151,9.747046577273771
0.25123671724255253,-1.7629381457847249,9.746848805737649
0.25579158570887817,-1.7626561690609026,9.74664776238056
0.2603457107099549,-1.7623682045438274,9.746443425781173
0.2648990672559695,-1.7620742193108718,9.746235809080284
0.2694516299960501,-1.7617742482507015,9.746024903383775
0.2740033954047826,-1.761468224495963,9.745810731579736
0.27855433794855733,-1.76115621686244,9.74559327381157
0.2831044539236896,-1.7608381924114649,9.74537254189392
0.28765371818808855,-1.7605141522108592,9.745148538152208
0.29220212685488783,-1.7601840972471332,9.744921263419954
0.2967496547934277,-1.7598480286256049,9.744690720037324
0.3012962981236066,-1.7595059473661876,9.74445690888021
0.3058420315115958,-1.7591578884959573,9.74421982136444
0.3103868300516417,-1.7588038192900788,9.74397947101708
0.3149307111182962,-1.7584437407104532,9.743735857111924
0.31947362836689625,-1.7580776540632497,9.743488983847168
0.3240155779398429,-1.7577055604540837,9.743238852163211
0.3285565557529333,-1.7573274948849193,9.74298545196986
