time (sec),ref_accel_x (m/s^2),ref_accel_y (m/s^2),ref_accel_z (m/s^2),accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2),ref_gyro_x (rad/s),ref_gyro_y (rad/s),ref_gyro_z (rad/s),gyro_x (rad/s),gyro_y (rad/s),gyro_z (rad/s),mag_x (uT),mag_y (uT),mag_z (uT),ref_pos_x (m),ref_pos_y (m),ref_pos_z (m),ref_vel_x (m/s),ref_vel_y (m/s),ref_vel_z (m/s),ref_Yaw (deg),ref_Pitch (deg),ref_Roll (deg),q0 (),q1,q2,q3
0.21,0.0,0.0,-9.7803253359,0.010265640344337827,0.009761638574610968,-9.770325784451986,0.0,0.0,0.0,4.3427357899131185e-05,0.0001345745889528487,-0.00024444737639724964,-2.09389959727186e-06,2.5642874395349155e-22,6.898071897999544e-07,0.0,0.021000000000000008,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.22,0.0,0.0,-9.7803253359,0.009440145983719487,0.010080326349014047,-9.77026124310667,0.0,0.0,0.0,-0.00019272583297568093,-0.0001879615560390306,-4.007091731266157e-05,-2.1328625996514453e-06,2.6120033556842455e-22,7.302226476126307e-07,0.0,0.02200000000000001,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.23,0.0,0.0,-9.7803253359,0.01076441233875918,0.009857282730972531,-9.770940011736839,0.0,0.0,0.0,0.0003184516502540067,-3.531263789834586e-05,0.00010184746164585963,-2.1721735885189284e-06,2.6601454323721254e-22,7.722491871514167e-07,0.0,0.023000000000000013,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.24,0.0,0.0,-9.7803253359,0.009121671605059075,0.009883889673355545,-9.770485310127263,0.0,0.0,0.0,6.810546133955623e-06,9.944095814567322e-05,-0.00010793388709314877,-2.2118037565677546e-06,2.7086783908227923e-22,8.159353915808202e-07,0.0,0.02400000000000001,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.25,0.0,0.0,-9.7803253359,0.010395287444765432,0.009692224457302575,-9.77092324264668,0.0,0.0,0.0,-9.048431301030916e-05,-0.00012754651966054333,-0.0001066882325307761,-2.2517216030243718e-06,2.757563653714744e-22,8.61330164268176e-07,0.0,0.025000000000000012,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.26,0.0,0.0,-9.7803253359,0.010046149257920418,0.010556597559490878,-9.770193788983832,0.0,0.0,0.0,-9.49512192885107e-05,0.00013460774703530172,3.756706893466495e-05,-2.2918927999361165e-06,2.8067591814306306e-22,9.084826145242839e-07,0.0,0.026000000000000016,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.27,0.0,0.0,-9.7803253359,0.0101907974242361,0.009693158194081343,-9.77011719528522,0.0,0.0,0.0,0.00020815985286680878,0.00019294258076350782,0.0003224646203620975,-2.3322800570573395e-06,2.856219306590477e-22,9.574419312033373e-07,0.0,0.027000000000000017,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.28,0.0,0.0,-9.7803253359,0.010660761342606751,0.010211233032277363,-9.770187838988775,0.0,0.0,0.0,0.0001339023491722249,0.0001765171045072157,0.0001935475763418688,-2.372842985929821e-06,2.9058945675982027e-22,1.008257243497597e-06,0.0,0.028000000000000014,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.29,0.0,0.0,-9.7803253359,0.009634917154325856,0.00971667328984072,-9.770168273595775,0.0,0.0,0.0,-0.00012767855080012583,0.00016285662890121131,2.314524509117809e-05,-2.41353796382235e-06,2.9557315420156612e-22,1.0609774682515403e-06,0.0,0.029000000000000015,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.3,0.0,0.0,-9.7803253359,0.009008237987273968,0.009972536883041689,-9.769757367005264,0.0,0.0,0.0,6.0467892992782546e-05,-8.216796667409665e-05,-0.0001260472958854149,-2.4543179982793424e-06,3.005672680682536e-22,1.1156511431237073e-06,0.0,0.030000000000000016,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
