ref_pos_x (m),ref_pos_y (m),ref_pos_z (m)
4.198512062430381775e-03,8.981861174106597900e-05,0.000000000000000000e+00
4.298376850783824921e-03,9.501632302999496460e-05,0.000000000000000000e+00
4.398233722895383835e-03,1.003704965114593506e-04,0.000000000000000000e+00
4.498081747442483902e-03,1.058792695403099060e-04,0.000000000000000000e+00
4.597921390086412430e-03,1.115426421165466309e-04,0.000000000000000000e+00
4.697751719504594803e-03,1.173624768853187561e-04,0.000000000000000000e+00
4.797573201358318329e-03,1.233378425240516663e-04,0.000000000000000000e+00
4.897384904325008392e-03,1.294696703553199768e-04,0.000000000000000000e+00
4.997187294065952301e-03,1.357570290565490723e-04,0.000000000000000000e+00
5.096979439258575439e-03,1.421999186277389526e-04,0.000000000000000000e+00
5.196761339902877808e-03,1.487983390688896179e-04,0.000000000000000000e+00
5.296532995998859406e-03,1.555541530251502991e-04,0.000000000000000000e+00
5.396293941885232925e-03,1.624654978513717651e-04,0.000000000000000000e+00
5.496043711900711060e-03,1.695323735475540161e-04,0.000000000000000000e+00
5.595782306045293808e-03,1.767566427588462830e-04,0.000000000000000000e+00
5.695509724318981171e-03,1.841364428400993347e-04,0.000000000000000000e+00
5.795225501060485840e-03,1.916727051138877869e-04,0.000000000000000000e+00
5.894929170608520508e-03,1.993644982576370239e-04,0.000000000000000000e+00
5.994620732963085175e-03,2.072136849164962769e-04,0.000000000000000000e+00
6.094299722462892532e-03,2.152184024453163147e-04,0.000000000000000000e+00
6.193966139107942581e-03,2.233795821666717529e-04,0.000000000000000000e+00
6.293619517236948013e-03,2.316972240805625916e-04,0.000000000000000000e+00
6.393259856849908829e-03,2.401713281869888306e-04,0.000000000000000000e+00
6.492886692285537720e-03,2.488018944859504700e-04,0.000000000000000000e+00
6.592500023543834686e-03,2.575889229774475098e-04,0.000000000000000000e+00
6.692099384963512421e-03,2.665314823389053345e-04,0.000000000000000000e+00
6.791684310883283615e-03,2.756305038928985596e-04,0.000000000000000000e+00
6.891255266964435577e-03,2.848859876394271851e-04,0.000000000000000000e+00
6.990811321884393692e-03,2.942979335784912109e-04,0.000000000000000000e+00
7.090352475643157959e-03,3.038663417100906372e-04,0.000000000000000000e+00
7.189878728240728378e-03,3.135902807116508484e-04,0.000000000000000000e+00
7.289389148354530334e-03,3.234706819057464600e-04,0.000000000000000000e+00
7.388884201645851135e-03,3.335075452923774719e-04,0.000000000000000000e+00
7.488363422453403473e-03,3.437008708715438843e-04,0.000000000000000000e+00
7.587826345115900040e-03,3.540497273206710815e-04,0.000000000000000000e+00
7.687273435294628143e-03,3.645550459623336792e-04,0.000000000000000000e+00
7.786703296005725861e-03,3.752168267965316772e-04,0.000000000000000000e+00
7.886116392910480499e-03,3.860350698232650757e-04,0.000000000000000000e+00
7.985512260347604752e-03,3.970088437199592590e-04,0.000000000000000000e+00
8.084891363978385925e-03,4.081381484866142273e-04,0.000000000000000000e+00
8.184252306818962097e-03,4.194239154458045959e-04,0.000000000000000000e+00
8.283595554530620575e-03,4.308661445975303650e-04,0.000000000000000000e+00
8.382920641452074051e-03,4.424639046192169189e-04,0.000000000000000000e+00
8.482227567583322525e-03,4.542181268334388733e-04,0.000000000000000000e+00
8.581515867263078690e-03,4.661278799176216125e-04,0.000000000000000000e+00
8.680785074830055237e-03,4.781940951943397522e-04,0.000000000000000000e+00
8.780035655945539474e-03,4.904158413410186768e-04,0.000000000000000000e+00
8.879266679286956787e-03,5.027931183576583862e-04,0.000000000000000000e+00
8.978478144854307175e-03,5.153268575668334961e-04,0.000000000000000000e+00
9.077669586986303329e-03,5.280161276459693909e-04,0.000000000000000000e+00
9.176841005682945251e-03,5.408609285950660706e-04,0.000000000000000000e+00
9.275992400944232941e-03,5.538612604141235352e-04,0.000000000000000000e+00
9.375123307108879089e-03,5.670180544257164001e-04,0.000000000000000000e+00
9.474233258515596390e-03,5.803303793072700500e-04,0.000000000000000000e+00
9.573322255164384842e-03,5.937982350587844849e-04,0.000000000000000000e+00
9.672389831393957138e-03,6.074216216802597046e-04,0.000000000000000000e+00
9.771435987204313278e-03,6.212005391716957092e-04,0.000000000000000000e+00
9.870460256934165955e-03,6.351349875330924988e-04,0.000000000000000000e+00
9.969462640583515167e-03,6.492258980870246887e-04,0.000000000000000000e+00
1.006844267249107361e-02,6.634714081883430481e-04,0.000000000000000000e+00
1.016740035265684128e-02,6.778724491596221924e-04,0.000000000000000000e+00
1.026633521541953087e-02,6.924290210008621216e-04,0.000000000000000000e+00
1.036524726077914238e-02,7.071411237120628357e-04,0.000000000000000000e+00
1.046413555741310120e-02,7.220078259706497192e-04,0.000000000000000000e+00
1.056300103664398193e-02,7.370309904217720032e-04,0.000000000000000000e+00
1.066184230148792267e-02,7.522087544202804565e-04,0.000000000000000000e+00
1.076065981760621071e-02,7.675420492887496948e-04,0.000000000000000000e+00
1.085945311933755875e-02,7.830299437046051025e-04,0.000000000000000000e+00
1.095822220668196678e-02,7.986733689904212952e-04,0.000000000000000000e+00
1.105696614831686020e-02,8.144723251461982727e-04,0.000000000000000000e+00
1.115568540990352631e-02,8.304258808493614197e-04,0.000000000000000000e+00
1.125437952578067780e-02,8.465340360999107361e-04,0.000000000000000000e+00
1.135304803028702736e-02,8.627977222204208374e-04,0.000000000000000000e+00
1.145169092342257500e-02,8.792169392108917236e-04,0.000000000000000000e+00
1.155030773952603340e-02,8.957907557487487793e-04,0.000000000000000000e+00
1.164889894425868988e-02,9.125191718339920044e-04,0.000000000000000000e+00
1.174746314063668251e-02,9.294021874666213989e-04,0.000000000000000000e+00
1.184600079432129860e-02,9.464407339692115784e-04,0.000000000000000000e+00
1.194451190531253815e-02,9.636329486966133118e-04,0.000000000000000000e+00
1.204299554228782654e-02,9.809806942939758301e-04,0.000000000000000000e+00
1.214145217090845108e-02,9.984830394387245178e-04,0.000000000000000000e+00
1.223988085985183716e-02,1.016139984130859375e-03,0.000000000000000000e+00
1.233828207477927208e-02,1.033951528370380402e-03,0.000000000000000000e+00
1.243665488436818123e-02,1.051917672157287598e-03,0.000000000000000000e+00
1.253499928861856461e-02,1.070038415491580963e-03,0.000000000000000000e+00
1.263331528753042221e-02,1.088313758373260498e-03,0.000000000000000000e+00
1.273160241544246674e-02,1.106742769479751587e-03,0.000000000000000000e+00
1.282986020669341087e-02,1.125326380133628845e-03,0.000000000000000000e+00
1.292808912694454193e-02,1.144064590334892273e-03,0.000000000000000000e+00
1.302628824487328529e-02,1.162957400083541870e-03,0.000000000000000000e+00
1.312445756047964096e-02,1.182003878057003021e-03,0.000000000000000000e+00
1.322259707376360893e-02,1.201204955577850342e-03,0.000000000000000000e+00
1.332070631906390190e-02,1.220559701323509216e-03,0.000000000000000000e+00
1.341878483071923256e-02,1.240069046616554260e-03,0.000000000000000000e+00
1.351683260872960091e-02,1.259732060134410858e-03,0.000000000000000000e+00
1.361484918743371964e-02,1.279548741877079010e-03,0.000000000000000000e+00
1.371283456683158875e-02,1.299520023167133331e-03,0.000000000000000000e+00
1.381078874692320824e-02,1.319644972681999207e-03,0.000000000000000000e+00
1.390871079638600349e-02,1.339923590421676636e-03,0.000000000000000000e+00
1.400660118088126183e-02,1.360355876386165619e-03,0.000000000000000000e+00
1.410445943474769592e-02,1.380941830575466156e-03,0.000000000000000000e+00
1.420228509232401848e-02,1.401682384312152863e-03,0.000000000000000000e+00
1.430007768794894218e-02,1.422575674951076508e-03,0.000000000000000000e+00
1.439783768728375435e-02,1.443622633814811707e-03,0.000000000000000000e+00
1.449556462466716766e-02,1.464823260903358459e-03,0.000000000000000000e+00
1.459325803443789482e-02,1.486177556216716766e-03,0.000000000000000000e+00
1.469091791659593582e-02,1.507685519754886627e-03,0.000000000000000000e+00
1.478854380548000336e-02,1.529346220195293427e-03,0.000000000000000000e+00
1.488613523542881012e-02,1.551160588860511780e-03,0.000000000000000000e+00
1.498369267210364342e-02,1.573128625750541687e-03,0.000000000000000000e+00
1.508121518418192863e-02,1.595249399542808533e-03,0.000000000000000000e+00
1.517870323732495308e-02,1.617522910237312317e-03,0.000000000000000000e+00
1.527615590021014214e-02,1.639950089156627655e-03,0.000000000000000000e+00
1.537357317283749580e-02,1.662530004978179932e-03,0.000000000000000000e+00
1.547095505520701408e-02,1.685263589024543762e-03,0.000000000000000000e+00
1.556830061599612236e-02,1.708149909973144531e-03,0.000000000000000000e+00
1.566561078652739525e-02,1.731188036501407623e-03,0.000000000000000000e+00
1.576288416981697083e-02,1.754379831254482269e-03,0.000000000000000000e+00
1.586012123152613640e-02,1.777724362909793854e-03,0.000000000000000000e+00
1.595732150599360466e-02,1.801221631467342377e-03,0.000000000000000000e+00
1.605448452755808830e-02,1.824871636927127838e-03,0.000000000000000000e+00
1.615161029621958733e-02,1.848674379289150238e-03,0.000000000000000000e+00
1.624869881197810173e-02,1.872629858553409576e-03,0.000000000000000000e+00
1.634574960917234421e-02,1.896737143397331238e-03,0.000000000000000000e+00
1.644276222214102745e-02,1.920997165143489838e-03,0.000000000000000000e+00
1.653973665088415146e-02,1.945408992469310760e-03,0.000000000000000000e+00
1.663667242974042892e-02,1.969973556697368622e-03,0.000000000000000000e+00
1.673356955870985985e-02,1.994690857827663422e-03,0.000000000000000000e+00
1.683042803779244423e-02,2.019559964537620544e-03,0.000000000000000000e+00
1.692724740132689476e-02,2.044580876827239990e-03,0.000000000000000000e+00
1.702402671799063683e-02,2.069753594696521759e-03,0.000000000000000000e+00
1.712076691910624504e-02,2.095079049468040466e-03,0.000000000000000000e+00
1.721746707335114479e-02,2.120556309819221497e-03,0.000000000000000000e+00
1.731412718072533607e-02,2.146185375750064850e-03,0.000000000000000000e+00
1.741074677556753159e-02,2.171965315937995911e-03,0.000000000000000000e+00
1.750732585787773132e-02,2.197897993028163910e-03,0.000000000000000000e+00
1.760386396199464798e-02,2.223982475697994232e-03,0.000000000000000000e+00
1.770036108791828156e-02,2.250217832624912262e-03,0.000000000000000000e+00
1.779681676998734474e-02,2.276604995131492615e-03,0.000000000000000000e+00
