accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
4.685558190098331431e-03,1.897622345067567903e-03,-9.790306043442903672e+00
7.107335878570349499e-03,6.484397249299927307e-03,-9.794890232088457438e+00
2.448086233949980407e-03,5.099871523162612802e-03,-9.791426114554223403e+00
-6.108465988516216787e-04,-6.854841420809239423e-03,-9.793554669628873555e+00
8.377513629388139539e-04,-8.587999550328912456e-04,-9.805461967613778640e+00
5.965959082283438589e-03,3.085013241232423958e-03,-9.797374149118644127e+00
-5.824737993730803344e-03,5.574302090964365977e-03,-9.794985769516003415e+00
-2.031041509083128006e-03,5.067214681560374551e-03,-9.793812161374264136e+00
2.702394422821671662e-03,-2.917340165237944025e-03,-9.786389800285759222e+00
1.302963630847428413e-03,2.613828214264141483e-03,-9.798097600269374041e+00
8.332646798940281313e-04,5.488001635368824557e-03,-9.798178023920778301e+00
4.346388877974476615e-03,5.263216695185576888e-03,-9.801948608064579460e+00
2.335536403931838968e-03,8.538930502267606110e-03,-9.796028088792191113e+00
-5.615307578658896778e-03,1.229689923604590680e-02,-9.791722798881801637e+00
-1.200810561512713351e-03,7.097745143059132171e-04,-9.794045185383309260e+00
5.629852918261102866e-03,-4.676673437798016704e-04,-9.792614348893996734e+00
7.517961879122041745e-03,-3.281158011169345995e-03,-9.791602100807223152e+00
-1.485290613139418365e-03,8.100931324105111256e-03,-9.786820673533018322e+00
3.994135060910329084e-03,4.642101006262020890e-04,-9.805826467754947373e+00
7.264598894147458047e-03,5.250946182572225826e-05,-9.796553027850981366e+00
7.201079691634091999e-03,1.182062145603135234e-03,-9.796640827514925931e+00
2.011458647235862384e-03,-2.759495553530517259e-03,-9.798752365959700228e+00
3.333181889411038473e-04,-2.294065778137293395e-03,-9.795870721366870981e+00
-1.615251257596750194e-03,-1.262953777561564433e-03,-9.797520077159944663e+00
-2.768374696907566473e-03,-2.905118629369284489e-03,-9.796852648596912516e+00
4.148506733660863553e-03,6.892203967316517209e-03,-9.793580317327018392e+00
-1.996393214905102780e-03,5.862240265511183684e-03,-9.796392716927339706e+00
-2.123622362745975975e-03,1.254682212888975131e-03,-9.791296576529097351e+00
4.965786800740085161e-04,-9.621247893186621325e-03,-9.790236716525983596e+00
7.047716836953100451e-03,1.721902642704927888e-03,-9.796105426829150531e+00
-3.908724280917264091e-04,5.336209671216287156e-04,-9.795628222291417941e+00
-2.662436798388071162e-03,1.168421544407640712e-03,-9.791978585886432995e+00
6.462546890477143847e-03,7.340825102012473596e-03,-9.791594457408193009e+00
-2.686680718942173474e-03,1.583074558470281158e-03,-9.804026200169436933e+00
-2.135899462574988481e-04,4.553769598530383288e-03,-9.806125227664542976e+00
-5.730339462397568244e-03,-3.565370362511820039e-03,-9.803341809875423252e+00
1.790748092032506825e-03,-1.757420384743532162e-03,-9.797101646306309419e+00
3.838437848755333042e-03,1.597027441102402863e-04,-9.793356772163715362e+00
-8.292586939176160030e-04,2.586175893009135841e-03,-9.797280888378859132e+00
4.934108688736372171e-03,5.707383629341273440e-03,-9.796106648612669332e+00
7.503768762998992616e-04,-4.023204591740553102e-03,-9.790168405599152024e+00
5.668663131425434772e-03,-6.226630238182881329e-04,-9.800808378533323761e+00
5.174464908731898904e-03,-6.847208314227938835e-04,-9.787071846796193242e+00
1.793253379587532925e-03,-5.005870801257168191e-03,-9.804188506695078686e+00
-3.221157913324385839e-03,3.294728417293918410e-03,-9.789698781295344432e+00
2.006889279711427613e-03,5.336130834981198459e-03,-9.798071433148304976e+00
-1.618169950401384576e-04,-3.860371833530630830e-03,-9.801441450996815519e+00
-2.586904570541303876e-04,7.923174142473712791e-04,-9.790240771895247107e+00
7.412359430210895862e-03,-7.183523929180242115e-03,-9.801709522213233328e+00
4.420457416803989683e-04,4.139949157373590261e-03,-9.791552265435756297e+00
