gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s)
-3.796433773537899459e-02,-6.029207915534253587e-02,8.960368810022490749e+00
8.501390066015425406e-02,2.100037674012635719e-02,9.056265292241162612e+00
6.911029934774795547e-02,4.590306270998365662e-02,8.960661039438560849e+00
-7.809870059618703730e-02,-3.652057049948651685e-02,9.005774721182563169e+00
5.336347951629506065e-03,1.338165379590079175e-02,8.998179503006404900e+00
5.287646338625820452e-02,2.800724348266106587e-03,9.057942074085318040e+00
5.412850507014813767e-02,-3.426683950077251926e-03,8.999653582121521112e+00
4.254260583844749616e-02,-7.340585098365311721e-03,9.004846673029675230e+00
2.301623011653240736e-02,2.429540943984533075e-02,9.001881009567112457e+00
1.410277321330298712e-02,-2.221374790703329553e-03,9.080236281075475091e+00
5.520843763016797419e-03,-3.439463162442410460e-02,9.067345890826285171e+00
1.314121461873586465e-02,1.966572626000801308e-02,9.017448743978345505e+00
9.489632865733464706e-02,-4.084669344796752755e-02,9.028962370921902902e+00
1.707445758140294784e-02,-1.289590631807795498e-03,8.905356416921081930e+00
1.627369917687441353e-02,4.556182720823665627e-02,8.975991238791500848e+00
2.633386748372767289e-02,4.755973939545557472e-02,8.937627350816185867e+00
2.456560285601351937e-02,1.849219493755631036e-02,9.016004322519501457e+00
-2.996938466276793597e-02,6.403128773828742348e-02,8.956197316997306146e+00
-1.645230811016618055e-02,3.027279619960212848e-03,9.031596161480351270e+00
3.765001879024440501e-02,3.672623935573735964e-03,8.996412104932911546e+00
-8.626998152010600940e-02,8.074577928135925203e-03,9.002491171338025566e+00
1.263264494150245429e-02,1.207899809036681003e-02,8.941602414902744655e+00
-3.103852044441101146e-02,3.288159218750535268e-02,9.032076114193676730e+00
3.638494218533604857e-02,-5.708547655967059070e-02,8.996188944911436280e+00
-3.641110513559135675e-02,-7.876045616898665752e-03,8.923939615442950668e+00
2.944842911579760494e-03,-7.459408600655502430e-02,8.979117548776031299e+00
-2.308838526255321821e-02,9.210512200998048626e-02,9.031447060542637573e+00
-4.791591482334836560e-02,7.912349867729139355e-03,8.980708387756545008e+00
2.944532405451439142e-02,5.931327137363984203e-02,8.977445421285358051e+00
-5.396088493902301275e-02,5.508702417417613018e-02,9.044657374502653724e+00
-1.048908041478259848e-02,8.793150389832099512e-02,8.975328511173795931e+00
-1.336861146948016901e-02,-7.781976850574873900e-03,9.036882683588153498e+00
4.288306826560368129e-02,2.791181700114968821e-03,9.013467566248587914e+00
9.509953699069036842e-03,2.840236346394380343e-02,8.988732503599818457e+00
7.498947041189678135e-03,1.942332787934012220e-02,8.961076578350493094e+00
-2.201685750967668359e-02,4.369565520699646849e-02,9.002523226369516962e+00
-1.870086482022996835e-02,5.022078427330120554e-02,8.953894973646757904e+00
-1.426495226065928031e-04,-3.465440803466701691e-02,8.987350514136139168e+00
-5.648204455675692043e-02,-6.405067914667893041e-03,8.960045688970980748e+00
-1.314426062305307230e-01,4.631448090323156755e-03,8.992868624228254504e+00
-5.590188953198887284e-03,-3.884565607493011170e-03,9.004777416132254686e+00
3.613133205186153107e-02,-4.046535683923914439e-02,9.021984379849294911e+00
2.221006853957568222e-02,4.189110334770592553e-02,8.937287946532995520e+00
-1.933423968235422263e-04,3.426276859337562541e-02,8.983598988733875856e+00
4.097287168768467408e-02,-1.535942603255409378e-02,9.114921071026826027e+00
-8.774513656131943326e-03,3.132375119222461507e-02,9.031182701134838453e+00
-5.286766868731200553e-02,7.782762627724074123e-02,9.021380594570635125e+00
6.028286553601625714e-02,-8.055288571612957346e-03,9.000611345621157611e+00
-5.718772489619725063e-02,-1.311938771326233086e-02,8.965207550554817217e+00
2.586374465322281713e-02,5.081969701957209096e-02,8.995085550023292242e+00
-5.607223101364587452e-03,-4.335309224539631717e-02,8.980937018737952471e+00
-2.051967873880135643e-02,-3.841939866797834668e-02,9.002568103869766247e+00
-4.208763849043935246e-02,2.990880095065054367e-02,8.962712678094113983e+00
3.883732493210335923e-02,2.958361312985951716e-02,8.952521021847763549e+00
-8.218750303090674447e-03,-1.852249446759906062e-02,9.016151822019098816e+00
1.348323714842687530e-02,2.135913459983400028e-02,8.877626940932698218e+00
6.909826737250040520e-03,-3.602266746140470738e-02,8.982607590002757547e+00
-5.858449650245876189e-02,-7.095384041714961065e-02,8.948303448371181190e+00
-1.079589896780616676e-02,-1.486628653898336427e-02,8.943415539151011728e+00
3.584282382484173940e-02,-1.455675872361237438e-02,8.977150736976650336e+00
4.822334091146365798e-02,-2.421312205804419457e-02,8.990682517997932166e+00
2.660842674852900843e-04,-8.549378237300116201e-02,9.052478199811121229e+00
-1.875423871071742188e-02,-7.338515705093889840e-02,8.934325225430844952e+00
-6.052372522847511427e-02,5.929321565223312149e-03,8.975480274467438235e+00
-5.748002749189542321e-02,1.347334678639504129e-03,8.975513929766341548e+00
4.761923988720463512e-03,1.565863599668656028e-02,8.961096610776083438e+00
-1.319417199788920463e-02,5.316480758913882942e-02,9.055014251174480222e+00
-8.024910677506548462e-02,-1.633991773780296350e-02,8.980226386102721392e+00
-2.133471227153394684e-03,-3.028185566213333416e-02,9.015872967873187704e+00
-1.793413312405933019e-02,4.652333875427947657e-02,8.993299283367811370e+00
-3.155358697850178806e-02,4.039994182934527472e-02,8.974419094914264150e+00
-2.868728718522123994e-02,3.252724309779320144e-02,9.025020077661329410e+00
1.954538383645074151e-02,5.543846188921596613e-02,8.996004660930672969e+00
3.807526715290847699e-03,5.976532369912445491e-02,8.919178172632587831e+00
-4.318293287140242964e-02,1.646577969612984110e-02,8.946752260077136754e+00
-1.571263704101084208e-02,7.833449664648267641e-02,9.032211703445900852e+00
3.218010900823885939e-02,-2.411722567067242640e-02,9.013912881124214849e+00
-2.817041052943487865e-04,7.673337538693052184e-02,8.993465091048225446e+00
-9.881600985508142906e-03,-1.188176076418453152e-03,8.964054217665301749e+00
-4.763086836565443016e-02,2.675092514344874078e-02,8.952429618443703774e+00
-3.704321081638032274e-03,3.852321057748640115e-02,9.025275669390152800e+00
2.509086490673614195e-02,-3.331946451866625580e-02,8.945645419526078612e+00
-5.334214693007047203e-02,-1.382473844046949209e-02,8.969915276850114694e+00
2.021607571108551427e-03,-8.632493273732362929e-03,9.045893289427969108e+00
5.531276622987372354e-02,1.689290214392932116e-02,9.041569040560338166e+00
-2.485433163859487177e-03,-1.310573202846612197e-02,9.077018582944100800e+00
-7.307727201245030335e-02,7.011524905215615888e-02,9.003638034513370414e+00
1.079226347778244367e-02,-3.608257345744015146e-03,9.051190437831706959e+00
1.111246762727215176e-02,2.834315610064007049e-02,9.048420894911597401e+00
-5.646704501726802078e-02,-1.875159418826102820e-02,9.002338953255828002e+00
8.606013888286983063e-03,5.898671363880464424e-02,9.014925112213109770e+00
-2.011004905300398798e-02,1.660881794295947234e-02,9.002076325757824904e+00
-1.322032136076515575e-02,3.048744957567244354e-02,8.991750056376837108e+00
-1.120554880511912162e-02,-5.575039249129581931e-02,9.020926679566615647e+00
-9.961395625949444679e-03,1.552496539085342596e-02,9.096586121897116683e+00
2.925683824514710429e-02,-3.250800569800629813e-02,8.888485862291066297e+00
-2.564707733561463060e-02,2.976642456274588081e-02,9.013144359464714483e+00
2.580169012329206618e-02,-5.294233838347407739e-02,9.053233556310892993e+00
6.656379561438607005e-03,7.931286138480292403e-02,8.997362318949248206e+00
-5.167295993944249349e-02,-3.152929222518848634e-02,8.992757212599963523e+00
-1.210281144902383178e-02,-2.359554135148605666e-02,8.968914494644451452e+00
-7.953961299795792028e-02,1.614179380182107978e-02,8.994112604849906489e+00
