gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s)
3.705402741567280674e-03,6.877086070079096308e-03,7.078114452472263583e-03
-5.385658720458050622e-03,-5.969577216061182183e-03,-1.692673951583188383e-02
4.787783645920417946e-04,-9.648221813516285814e-03,2.701403080652373459e-03
-4.750451519278636302e-04,-7.756573069796091763e-03,1.734849576677145386e-02
5.403352974743124044e-03,-1.105802290652086947e-03,1.523949749869704662e-02
6.536254683381865279e-05,-4.910522698205445347e-03,-1.046572783109484504e-02
-3.554548303049433894e-03,-6.111216154902922131e-03,8.139686274575931579e-03
-1.631344983994360235e-03,3.358534248464017848e-03,-1.971170372673799326e-03
2.533243275073764240e-03,-1.176123742407023803e-02,-7.108969397118253784e-03
9.583603191520045916e-03,3.101781718934692230e-03,-4.033973277007934545e-03
4.373005093037413832e-03,-5.924155015328194836e-03,-1.784638538052881395e-03
-8.369158254211413010e-04,-2.249367490334260988e-03,-1.010267982383437381e-02
-9.651737710437455903e-03,-2.753729752718738367e-03,-3.284590951531846689e-04
1.582321733892008697e-02,-7.777975397993452771e-03,3.520560519360958155e-03
3.673566433792457755e-03,5.410978892220396838e-04,-6.925282512925889857e-05
4.318041164096292003e-03,1.040046125183688918e-03,-4.481469132740925100e-03
-3.919942257466871652e-03,-1.260594058241868744e-02,3.826303752064661931e-03
1.225957438397404274e-03,2.280807146803797997e-03,3.958893997651262604e-03
1.580416835724363046e-03,-3.082769889594795358e-03,-1.925900699742774062e-03
-6.860308299283962054e-03,-1.625247424488426504e-02,1.694938678587918496e-02
-1.145051598844138785e-03,5.252087863978819812e-03,2.615200204598011526e-03
-2.481991736853107842e-03,-4.738480465375178273e-03,1.251538431069161746e-02
-2.925716254339066815e-03,-4.801038929662944377e-03,-1.050909886719869277e-02
-5.494398712674223619e-03,-3.133311167423403869e-03,2.109058377944060883e-02
1.600312061672808095e-02,-2.770915137500072514e-04,-1.629641502328158659e-02
5.747705607701365446e-04,-1.585792187961142241e-03,1.902027104035511687e-02
9.111544249897688547e-03,-1.783405942067549680e-03,-4.899218036779329905e-03
1.104365262125577354e-02,4.634074665393470537e-03,7.995312358585851846e-04
8.849379538545282253e-03,-6.364133255168017041e-03,-2.223307509735814643e-04
9.265892495455377645e-03,8.571272381243450389e-05,-3.378461575140622223e-04
-3.726649604372236999e-03,3.773195071785800849e-03,-8.249310114130889784e-03
1.493776482391093521e-02,-6.587076097421986146e-03,7.614217902319855499e-03
1.308511281385556224e-02,5.889359777580972094e-04,-1.251248013426884548e-02
