accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
1.000454857987581082e-02,9.632451430304606391e-03,-9.770572454656997863e+00
9.619838679539454568e-03,9.946146641257719995e-03,-9.770079322946957134e+00
9.860030110518403987e-03,9.769274251753577720e-03,-9.769614096130990077e+00
1.042952913851784118e-02,9.736144156273213515e-03,-9.770076253001311883e+00
1.074464029546668906e-02,1.001921675466284009e-02,-9.770358672744826833e+00
9.919806690986500419e-03,9.520601964998024261e-03,-9.770283668817334899e+00
9.515077828370990115e-03,9.947679118842332746e-03,-9.770487825380314462e+00
9.582659121861892421e-03,9.984342495068521117e-03,-9.770438039823794441e+00
1.021511844701581545e-02,9.289755372245351098e-03,-9.770490543377103876e+00
1.042333932741721161e-02,9.769715780753659637e-03,-9.770722627870469523e+00
9.876034205697529003e-03,1.041130117581902208e-02,-9.769545258948451050e+00
1.012921101259825138e-02,9.620082178767563538e-03,-9.770273688091016595e+00
9.925794035259819306e-03,9.906529905600806873e-03,-9.770104269356675530e+00
9.939374135127415286e-03,1.031671972114589150e-02,-9.770143337965594199e+00
1.007688478183060149e-02,9.871681689261396428e-03,-9.770645193148181917e+00
9.956803504528901477e-03,1.030761284108785460e-02,-9.770354787158339605e+00
9.834055147615606771e-03,9.817894826512034781e-03,-9.769928356435441330e+00
9.364342017369743990e-03,9.445158001195963840e-03,-9.770587483069201440e+00
1.034609901028122475e-02,9.908167395053842780e-03,-9.770368252038011292e+00
9.550703292506686204e-03,1.027067858082414929e-02,-9.770328176747975490e+00
1.010011385763444694e-02,1.010223402415163715e-02,-9.770860126556337732e+00
9.712585676236916432e-03,9.782586349689675886e-03,-9.769675871602602868e+00
9.597049191176333302e-03,1.016447527560848142e-02,-9.770230983737718589e+00
1.013130590512222734e-02,1.021760526201545387e-02,-9.769808058795367955e+00
1.058555682420598762e-02,9.479856634811276508e-03,-9.769732193917731067e+00
1.041445594942599570e-02,9.613091029799033724e-03,-9.770212624275719904e+00
1.062445894031595513e-02,9.781671253216847259e-03,-9.769896174591272242e+00
9.952321876779003651e-03,9.644590096494624551e-03,-9.770554978703236415e+00
9.660297959144975230e-03,1.021787870761313097e-02,-9.769702568732435921e+00
1.004867702100063244e-02,9.881182233999150424e-03,-9.770412070664216131e+00
9.841053722364642709e-03,1.003325860335810282e-02,-9.770534236845314524e+00
1.014662313104837225e-02,1.107057007117176126e-02,-9.769625468297871151e+00
9.215762993722596136e-03,1.043257922976143642e-02,-9.770208310464738588e+00
9.763766770089376060e-03,9.609176825318536258e-03,-9.770685107270546510e+00
9.599174054222036831e-03,9.995022418941042555e-03,-9.770404325306607518e+00
9.709580992232080127e-03,9.696149925991914484e-03,-9.770277638052148106e+00
1.009988980828154491e-02,9.928312532411422142e-03,-9.770438905420183673e+00
9.448932817201419546e-03,1.020356227658714490e-02,-9.770416456373984815e+00
1.013484412240366929e-02,1.002386851519470289e-02,-9.770500717247445621e+00
9.414315435628005380e-03,1.007862889016491841e-02,-9.770089067055156562e+00
1.041806533132514159e-02,1.011380119687455004e-02,-9.770036515351780082e+00
1.052310823510661103e-02,9.853992777820803212e-03,-9.770190788105953317e+00
9.929786205945775532e-03,9.904195197818793650e-03,-9.769669317192976266e+00
1.039665196821651025e-02,9.816567655408099322e-03,-9.770076698648319180e+00
9.878892946286221485e-03,1.036298011031171890e-02,-9.770587865383939530e+00
1.024343891769291005e-02,9.741808043571833012e-03,-9.770435639857160126e+00
1.044233697677028616e-02,1.016220322666387503e-02,-9.771067426031342151e+00
9.557228655519306448e-03,1.035821221055552126e-02,-9.770822557239540629e+00
1.052350374651606947e-02,9.804757116842774053e-03,-9.770452886723422381e+00
1.023372071767806625e-02,9.931973143501535498e-03,-9.770287681777746869e+00
9.963645619001197662e-03,1.007698476031943478e-02,-9.770640757179487323e+00
1.015614556341070535e-02,9.441577950189468382e-03,-9.770344308557028512e+00
1.017399611941561220e-02,1.026160465080902702e-02,-9.770318607570876779e+00
9.961843045215046724e-03,9.817993113848816344e-03,-9.770011903952486421e+00
9.233950668057815114e-03,1.028895989095355255e-02,-9.770114421551831185e+00
1.045329026805991331e-02,9.823995425975225876e-03,-9.770627879039645691e+00
1.004006915357312513e-02,9.772186574746028961e-03,-9.769893445584306946e+00
1.056713270883233129e-02,9.861155730541379047e-03,-9.770224820367680252e+00
1.104610043064774977e-02,9.919271930443007701e-03,-9.769943299534201486e+00
1.015795730810941343e-02,1.002767219949739219e-02,-9.770537553795064056e+00
9.956256491307177367e-03,1.009560704998962131e-02,-9.770294556044309076e+00
1.071393023792832980e-02,1.000201804933008830e-02,-9.770602078667485202e+00
1.039996413400115852e-02,9.963055082707304722e-03,-9.770340354895607149e+00
9.669302410513025761e-03,9.475682329275626758e-03,-9.770272227289250822e+00
1.000812996024041078e-02,9.888346601537751149e-03,-9.770489872870513182e+00
1.056973583497283070e-02,1.034983840913553631e-02,-9.770425670940351637e+00
1.092870822331865575e-02,9.846073544289870444e-03,-9.770303831606529599e+00
9.939455789004502176e-03,9.605845713430658309e-03,-9.770417676602928481e+00
1.015545934570551319e-02,9.855531575289446997e-03,-9.770436602275440308e+00
1.067164002400542919e-02,9.337644001077782807e-03,-9.770654763353077144e+00
1.027567298982707926e-02,1.014041925720708670e-02,-9.770090365219003203e+00
9.897325503041981554e-03,9.916598052800523061e-03,-9.769904649066582181e+00
9.949418658297128418e-03,1.052265127066296692e-02,-9.770880810088408808e+00
9.991266183482906335e-03,9.971601252277393496e-03,-9.770315992405780747e+00
1.016521280249091733e-02,1.087143751955652569e-02,-9.770628298898957453e+00
9.955724846588007160e-03,1.020145473691838611e-02,-9.770387299031490613e+00
1.017924237962485740e-02,9.956452363664956839e-03,-9.770180122577070136e+00
1.015513503855510966e-02,1.015526200669143037e-02,-9.769635832053456426e+00
9.351340388030239537e-03,9.735151833067310495e-03,-9.770326402417742528e+00
1.021443053492687020e-02,9.904738490522421029e-03,-9.769366199118508121e+00
1.037756164265982509e-02,1.048590467436528659e-02,-9.770146937334521553e+00
9.804122037448698840e-03,1.017864821362519760e-02,-9.770789072811018272e+00
1.051169962306455069e-02,1.051988980545207238e-02,-9.770061438280013277e+00
9.977111131674338412e-03,9.804294357127636347e-03,-9.770140979032102990e+00
1.037332199255146942e-02,9.861731168212544904e-03,-9.770059054792978870e+00
1.031004854699825619e-02,9.975959881945689611e-03,-9.770235717241179785e+00
1.053038946353327884e-02,1.014690651082316049e-02,-9.770440420092757705e+00
1.032427772031388469e-02,9.774159866090904869e-03,-9.770287753842680445e+00
9.654611661135572079e-03,1.007334536781804776e-02,-9.769447710011323949e+00
9.969158584624941005e-03,9.901096170125531573e-03,-9.770057594583219540e+00
1.068472474274800854e-02,1.024963720727365898e-02,-9.770259016538686225e+00
9.863947312631089065e-03,9.367484193509112086e-03,-9.770258098473753705e+00
9.536297180255573491e-03,1.065528210919083722e-02,-9.770458156520531290e+00
9.828595783089505433e-03,9.921276273143804156e-03,-9.770420137336875754e+00
1.003611219784718463e-02,1.032130315053737465e-02,-9.770028662480207515e+00
9.695255399459271062e-03,9.934401312320501748e-03,-9.770537864426245278e+00
1.000587365887935926e-02,9.911516534205608991e-03,-9.770017543135152138e+00
9.765828840556071630e-03,1.038173054084305137e-02,-9.770651416399113387e+00
9.814282027737939243e-03,1.011858895558523895e-02,-9.770547127046272706e+00
1.039389444289992928e-02,9.839660357331098811e-03,-9.770657770034317124e+00
1.014934111513188762e-02,9.886922010710843048e-03,-9.770698617870536395e+00
1.003422459970761821e-02,1.052905270666948216e-02,-9.770411234849525783e+00
9.819065168669628696e-03,9.781510722665977611e-03,-9.770022327800250039e+00
9.635459577144411120e-03,1.032114980696185666e-02,-9.770403203032893558e+00
9.912882847773651224e-03,1.012483348820445925e-02,-9.770543700008769150e+00
9.810733544617396620e-03,9.781232471622408609e-03,-9.770293240738551432e+00
9.949824955373677213e-03,9.980876548709818538e-03,-9.770428821019313759e+00
9.827809620743725369e-03,1.045635392295702314e-02,-9.770183467264471844e+00
9.724900452457373515e-03,9.876658217543176146e-03,-9.769991250993575349e+00
9.412462514499975522e-03,9.483991198967577432e-03,-9.770757009650269609e+00
9.969591529755968129e-03,9.917418925618247741e-03,-9.770175819236714077e+00
9.300422296249482440e-03,1.006924603332092286e-02,-9.770848828708299294e+00
1.046918094332448083e-02,9.726016028700169500e-03,-9.769915213317418079e+00
9.963497044769936001e-03,9.929901634581036682e-03,-9.769969051860535103e+00
9.728560914095366052e-03,1.027682678243789678e-02,-9.770084705627219535e+00
9.747452732768738248e-03,9.941254492417101948e-03,-9.770313919376384604e+00
9.498530049036744971e-03,9.808645604525370251e-03,-9.770258735808251771e+00
9.589035953666431508e-03,1.000029258669381943e-02,-9.770310316784744487e+00
1.018408753733298505e-02,1.015471504704028478e-02,-9.769692599358407392e+00
1.005217346167091609e-02,9.959058320656808197e-03,-9.770907113335043803e+00
9.850178933421684796e-03,9.491459750572648138e-03,-9.770237237009917308e+00
1.022909263309880121e-02,9.999258278882724657e-03,-9.770455501310301827e+00
9.809677629193651327e-03,9.804513530290234410e-03,-9.770119629484955937e+00
9.759134882696640645e-03,9.856657913416394176e-03,-9.770218684187106817e+00
9.847743620677723575e-03,9.702550733335145103e-03,-9.769798787222274683e+00
1.008196292254514605e-02,1.049012992636192895e-02,-9.770537246758330241e+00
9.940623075970746181e-03,1.000511342594908801e-02,-9.770515577064150747e+00
9.682411776920290397e-03,9.770506663287447519e-03,-9.770201612424934012e+00
1.008759038661209348e-02,9.870471791009504878e-03,-9.770425135326592070e+00
1.002278644823783975e-02,9.938583354619624430e-03,-9.770212606900321006e+00
1.032753377659486986e-02,9.684665575291122319e-03,-9.770096758959899930e+00
1.068835906164464916e-02,1.008368929499990109e-02,-9.770419328852153029e+00
9.940648181605457948e-03,1.008661162122183839e-02,-9.770168068532088412e+00
9.407563986396520750e-03,9.830662045368693605e-03,-9.770472850739549742e+00
1.011014256045012633e-02,1.004248328698056393e-02,-9.770323431008202775e+00
9.896064541894070837e-03,9.932842686229279017e-03,-9.769945631314454815e+00
9.763913698484845416e-03,9.555500985360227198e-03,-9.770639338280551200e+00
1.026051583269735855e-02,1.024983552985773809e-02,-9.770500503297915529e+00
1.028185193310352311e-02,1.002896030360015713e-02,-9.769977304541896501e+00
1.003651449659937432e-02,9.704131221948542399e-03,-9.771280536740642120e+00
1.017482824259489591e-02,9.891455847522013026e-03,-9.770449460320165258e+00
1.061994968596363491e-02,9.804666571563045233e-03,-9.770520458206695125e+00
9.991551382240617188e-03,1.013740206401031810e-02,-9.770259525796239686e+00
1.012752678342914922e-02,1.033139309115448448e-02,-9.770398385895969540e+00
1.037045292353620633e-02,9.964617942346213481e-03,-9.769432754307439737e+00
9.828773604229920288e-03,1.002133164913541000e-02,-9.770624160604453934e+00
1.039684036296676869e-02,1.018923295369237626e-02,-9.770178924138537724e+00
9.996009363029740094e-03,1.026662298903563593e-02,-9.770003902683139785e+00
9.960767472550558291e-03,1.012474073739398801e-02,-9.770422471442746115e+00
9.933577989656321161e-03,9.938981363901758931e-03,-9.770031543686684472e+00
1.030911226078811034e-02,9.962946005583299749e-03,-9.769889251146274489e+00
9.774911080606027772e-03,1.024814921945356276e-02,-9.770113021003282938e+00
9.455922930663968051e-03,1.010974278652663691e-02,-9.770885455899597005e+00
1.056202111849451238e-02,1.018201179427468371e-02,-9.770320887239822838e+00
9.716020338080829516e-03,9.704092407986256857e-03,-9.769661615514621644e+00
1.002273573264810501e-02,9.933756439720968154e-03,-9.770607772188730777e+00
1.001733161145527615e-02,1.039321249197052745e-02,-9.770863777686070506e+00
1.079704966122254847e-02,1.037528102438206937e-02,-9.769758905078116840e+00
1.044424432292714519e-02,1.041812224798355398e-02,-9.770790854695682981e+00
9.761157247286334979e-03,9.324899279455903939e-03,-9.769857710489390001e+00
1.034282093904337167e-02,9.569663314911944565e-03,-9.770859531103749163e+00
1.003900662424061715e-02,1.014390813281892609e-02,-9.770503986292489174e+00
1.010926927954792186e-02,9.704399229535448645e-03,-9.769383343875878367e+00
9.795718450890540316e-03,1.031875789525685781e-02,-9.769892915240067310e+00
9.761957818366395409e-03,9.602825023988166217e-03,-9.770641246411120306e+00
9.809677208895759351e-03,9.293161413144622116e-03,-9.769715069647761041e+00
9.965090748746938815e-03,9.977986509456601358e-03,-9.770141960522195745e+00
9.766977953787865999e-03,9.907704342663853705e-03,-9.770641686232622192e+00
9.884864994025634524e-03,1.037528372920332349e-02,-9.770280883117608894e+00
1.029596245155805015e-02,9.869582441598761038e-03,-9.769714230063950566e+00
1.018367771480288737e-02,1.046361848189313395e-02,-9.770122620852616180e+00
9.332806286109692276e-03,1.017047100302533209e-02,-9.770356201915669558e+00
9.780774101664673967e-03,9.520975344097107676e-03,-9.769895207763459766e+00
9.948466963835654944e-03,9.873936121604759072e-03,-9.769823885185459744e+00
9.813476314902726955e-03,1.018724641728836235e-02,-9.771291218043696603e+00
1.027148307264025805e-02,9.741607740188937270e-03,-9.770606610872842879e+00
9.810999770701692504e-03,9.850861571242137613e-03,-9.770612189954023918e+00
1.041071262156430775e-02,9.639665665614751203e-03,-9.769861180222635610e+00
1.027827194382292114e-02,1.035652128309677913e-02,-9.770129515023123545e+00
9.351420532700289306e-03,9.673684552936136216e-03,-9.770312996390837057e+00
9.526006144844868795e-03,1.011469462489166145e-02,-9.770277642081497405e+00
9.781585080809680754e-03,1.059052885985728096e-02,-9.770498591169516800e+00
9.670847410562221150e-03,1.001365284285235524e-02,-9.770421413634068131e+00
9.496256848585536703e-03,9.622290475117041553e-03,-9.770244568764123727e+00
1.050059372807261339e-02,9.706683105589098901e-03,-9.769800512630304468e+00
1.010429742771441590e-02,1.030145682970971810e-02,-9.770411382366745556e+00
1.007856296432080821e-02,9.737848539373946885e-03,-9.770547861810392476e+00
1.009667511485689596e-02,9.656229397685338334e-03,-9.770920827259722330e+00
1.015851887506528765e-02,9.605990120131273000e-03,-9.770399702025812871e+00
9.819907740533402943e-03,1.033876468653923374e-02,-9.770380438395173783e+00
9.402214567408318999e-03,1.022395315781117649e-02,-9.770309196888641523e+00
1.026567779389963783e-02,1.023305321559596186e-02,-9.770159508546823801e+00
1.031519579577930452e-02,1.019723669196350747e-02,-9.770410136000171164e+00
9.899903594794787903e-03,9.488042540244771145e-03,-9.771070939176841108e+00
9.839609965119443594e-03,1.025514215766563410e-02,-9.770152286757165072e+00
1.088030809531586283e-02,9.132835122703727992e-03,-9.770707360227007143e+00
1.009648769157948586e-02,9.524344199635452826e-03,-9.770066629513769030e+00
1.055984769980203297e-02,1.003897547491286978e-02,-9.770163214776474092e+00
1.056454044885599651e-02,9.464258819965369607e-03,-9.770051615484565133e+00
1.041844405372500254e-02,9.652172179715551997e-03,-9.769772286314656995e+00
1.012370564687807908e-02,1.004510959539389736e-02,-9.770357090106578823e+00
1.024642446975804720e-02,9.891143761903047407e-03,-9.770381495665496629e+00
1.070020037316656535e-02,1.009602332942203390e-02,-9.770137482528841844e+00
1.026413456553297923e-02,1.018813474411107284e-02,-9.770135294095625866e+00
9.983197585576487551e-03,9.797809986664567095e-03,-9.770570989992680921e+00
9.829699091538484160e-03,9.166755958216855210e-03,-9.770202369377816609e+00
1.058085104651106979e-02,9.902890823283270680e-03,-9.770413945207714335e+00
1.055762389671067308e-02,9.712876020549371728e-03,-9.770364565208797814e+00
1.045092399253677064e-02,1.027332013381104109e-02,-9.770917886015084264e+00
1.025736401173071334e-02,9.896225981796073073e-03,-9.769688278719179664e+00
9.910318061923531832e-03,1.016541548136989936e-02,-9.770103945457746519e+00
9.776505277347176046e-03,1.001203067059848635e-02,-9.769751208141601140e+00
1.020422073746604305e-02,9.292451863907544643e-03,-9.770688380412430263e+00
9.647531018723502771e-03,1.013711315269620085e-02,-9.770765762356861117e+00
9.928066294677066750e-03,1.020809005160979582e-02,-9.770522975224054107e+00
1.053120731617382400e-02,1.051371639851148877e-02,-9.770030112531982169e+00
9.691514574823215100e-03,9.887904929937678389e-03,-9.770566729790013838e+00
9.832881735380818652e-03,9.896990899822466145e-03,-9.770245166395410408e+00
1.005492829296297970e-02,1.011572085087085633e-02,-9.770499554677119391e+00
9.720251991595776908e-03,1.033253939343210977e-02,-9.770981860271062303e+00
9.812517232936775538e-03,9.738806452773909536e-03,-9.769951600900224520e+00
9.615729356019961718e-03,9.754131788343643056e-03,-9.770423255557323827e+00
1.011995069637735764e-02,9.778896671048026637e-03,-9.769892071173845949e+00
9.989254231146852889e-03,9.958566409487954255e-03,-9.770906802282564030e+00
1.037476439487686371e-02,9.899579343930297801e-03,-9.769926543676621833e+00
9.713172976617546334e-03,9.904086845736525396e-03,-9.770423298884507446e+00
9.844209939908683468e-03,1.029412093182278248e-02,-9.770766292446728229e+00
1.012893960512598057e-02,9.470441020866112239e-03,-9.770432332048542889e+00
1.050404821122493532e-02,9.668882284971137137e-03,-9.770400111695765943e+00
1.057967611859996632e-02,1.032411874970328748e-02,-9.770403774405966857e+00
1.042072685192454821e-02,9.533017573162787597e-03,-9.770151757821766481e+00
1.016315614450452251e-02,1.013151321664371163e-02,-9.770627792314314775e+00
1.008137320044903175e-02,1.022872627455625842e-02,-9.770722128817959984e+00
9.864449594632724097e-03,1.009072591688285440e-02,-9.770061030056018225e+00
1.031926474765977424e-02,1.013237684093966362e-02,-9.770657172632441601e+00
9.808715773297340193e-03,1.045192644811296367e-02,-9.770465532590595359e+00
9.858457765109757825e-03,1.023289071501159303e-02,-9.770769663266985816e+00
9.856539805598973913e-03,9.957386947541321809e-03,-9.770230827575927535e+00
1.050552563890203885e-02,1.000321271705196212e-02,-9.770020648548900510e+00
1.049497833375872234e-02,1.008922342151416171e-02,-9.770461639637325391e+00
9.480796629586727906e-03,9.681260726511310005e-03,-9.769642404985791728e+00
9.947539350808456970e-03,1.003000858084954899e-02,-9.770627753582346031e+00
9.394708204363807005e-03,1.052615805991957872e-02,-9.770424226400217904e+00
9.773298530848607835e-03,9.643885066435729791e-03,-9.770012186360373718e+00
1.018096121324878721e-02,1.031363245229143313e-02,-9.770378004297009866e+00
